Date,Description,URL
1928,"Penicillin is first observed to exude antibiotic substances by Nobel laureate Alexander Fleming. Development of medicinal penicillin is attributed to a team of medics and scientists including Howard Walter Florey, Ernst Chain and Norman Heatley.",https://en.wikipedia.org/wiki/Penicillin
1928,"Frank Whittle formally submitted his ideas for a turbo-jet engine. In October 1929, he developed his ideas further.[425] On 16 January 1930, Whittle submitted his first patent (granted in 1932).[426][427]",https://en.wikipedia.org/wiki/Frank_Whittle
1928,Philo Farnsworth demonstrates the first practical electronic television to the press.,https://en.wikipedia.org/wiki/Philo_Farnsworth
1929,The ball screw is invented by Rudolph G. Boehm.,https://en.wikipedia.org/wiki/Ball_screw
1930,The Supersonic combusting ramjet — Frank Whittle.[428],https://en.wikipedia.org/wiki/Supersonic_combusting_ramjet
1930,The Phase-contrast microscopy is invented by Frits Zernike.,https://en.wikipedia.org/wiki/Phase-contrast_microscopy
1931,The electron microscope is invented by Ernst Ruska.,https://en.wikipedia.org/wiki/Electron_microscope
1933,FM radio is patented by inventor Edwin H. Armstrong.,https://en.wikipedia.org/wiki/FM_radio
1935,"Nylon, the first fully synthetic fiber is produced by Wallace Carothers while working at DuPont.[429]",https://en.wikipedia.org/wiki/Nylon
1938,"Z1, built by Konrad Zuse, is the first freely programmable computer in the world.",https://en.wikipedia.org/wiki/Z1_(computer)
1938,"Nuclear fission discovered in experiment by chemists Otto Hahn and Fritz Strassmann and physicists Lise Meitner and Otto Robert Frisch. The German nuclear energy project was based on this research. The Tube Alloys project and, subsequently, the Manhattan Project and the Soviet atomic bomb project were influenced by this research.",https://en.wikipedia.org/wiki/Nuclear_fission
1939,G. S. Yunyev or Naum Gurvich invented the electric current defibrillator,https://en.wikipedia.org/wiki/Naum_Gurvich
1940,Pu-239 isotope (isotope of plutonium)[430][431] a form of matter existing with the capacity for use as a destructive element[432] (because the isotope has an exponentially increasing[430] spontaneous[433] fissile decay[434]) within nuclear devices — Glenn Seaborg.[431],https://en.wikipedia.org/wiki/Isotopes_of_plutonium#Notable_isotopes
1940,"John Randall and Harry Boot would develop the high power, microwave generating, cavity magnetron, later applied to commercial Radar and Microwave oven appliances.[435]",https://en.wikipedia.org/wiki/John_Randall_(physicist)
1941,Polyester is invented by John Rex Whinfield and James Dickson.[436],https://en.wikipedia.org/wiki/Polyester
1942,"The V-2 rocket, the world's first long range ballistic missile, developed by engineer Wernher von Braun.",https://en.wikipedia.org/wiki/V-2_rocket
1944,The non-infectious viral vaccine is perfected by Dr. Jonas Salk and Thomas Francis.[437],https://en.wikipedia.org#cite_note-444
1945,"The atomic bomb is developed by the Manhattan Project and swiftly deployed in August 1945 in the atomic bombings of Hiroshima and Nagasaki, effectively ending World War II.",https://en.wikipedia.org/wiki/Manhattan_Project
1945,"Percy Spencer, while employed at Raytheon, would patent a magnetron based microwave oven.[438]",https://en.wikipedia.org/wiki/Percy_Spencer
1946,"James Martin invents the ejector seat, inspired by the death of his friend and test pilot Captain Valentine Baker in an aeroplane crash in 1942.",https://en.wikipedia.org/wiki/James_Martin_(engineer)
1947,Holography is invented by Dennis Gabor.,https://en.wikipedia.org/wiki/Holography
1947,Floyd Farris and J.B. Clark (Stanolind Oil and Gas Corporation) invents hydraulic fracturing technology.[439],https://en.wikipedia.org/wiki/Stanolind_Oil_and_Gas_Corporation
1947,"The first transistor, a bipolar point-contact transistor, is invented by John Bardeen and Walter Brattain under the supervision of William Shockley at Bell Labs.",https://en.wikipedia.org/wiki/Transistor
1948,The first atomic clock is developed at the National Bureau of Standards.,https://en.wikipedia.org/wiki/Atomic_clock
1948,"Basic oxygen steelmaking is developed by Robert Durrer. The vast majority of steel manufactured in the world is produced using the basic oxygen furnace; in 2000, it accounted for 60% of global steel output.[440]",https://en.wikipedia.org/wiki/Basic_oxygen_steelmaking
1950,"Bertie the Brain, debatably the first video game, is displayed to the public at the Canadian National Exhibition.",https://en.wikipedia.org/wiki/Bertie_the_Brain
1950,The Toroidal chamber with axial magnetic fields (the Tokamak) is developed by Igor E. Tamm and Andrei D. Sakharov.[441],https://en.wikipedia.org/wiki/Tokamak
1952,The float glass process is developed by Alastair Pilkington.[442],https://en.wikipedia.org/wiki/Float_glass
1952,The first thermonuclear weapon is developed.,https://en.wikipedia.org/wiki/Thermonuclear_weapon
1953,"The first video tape recorder, a helical scan recorder, is invented by Norikazu Sawazaki.",https://en.wikipedia.org/wiki/Video_tape_recorder
1954,"Invention of the solar battery by Bell Telephone scientists, Calvin Souther Fuller, Daryl Chapin and Gerald Pearson capturing the Sun's power. First practical means of collecting energy from the Sun and turning it into a current of electricity.",https://en.wikipedia.org/wiki/Calvin_Souther_Fuller
1955,The hovercraft is patented by Christopher Cockerell.,https://en.wikipedia.org/wiki/Hovercraft
1955,The intermodal container is developed by Malcom McLean.,https://en.wikipedia.org/wiki/Intermodal_container
1956,The hard disk drive is invented by IBM.[443],https://en.wikipedia.org/wiki/Hard_disk_drive
1957,The laser and optical amplifier are invented and named by Gordon Gould and Charles Townes. The laser and optical amplifier are foundational to powering the Internet.[444],https://en.wikipedia.org/wiki/Laser
1957,"The first personal computer used by one person and controlled by a keyboard, the IBM 610, is invented in 1957 by IBM.",https://en.wikipedia.org/wiki/Personal_computer
1957,"The first artificial satellite, Sputnik 1, is launched.",https://en.wikipedia.org/wiki/Satellite
1958 - 1959,The integrated circuit is independently invented by Jack Kilby and Robert Noyce.,https://en.wikipedia.org/wiki/Integrated_circuit
1959,"The MOSFET (MOS transistor) is invented by the Egyptian Mohamed Atalla and the Korean Dawon Kahng at Bell Labs. It is used in almost all modern electronic products. It was smaller, faster, more reliable and cheaper to manufacture than earlier bipolar transistors, leading to a revolution in computers, controls and communication.[445][446][447]",https://en.wikipedia.org/wiki/MOSFET
1960,The first functioning laser is invented by Theodore Maiman.,https://en.wikipedia.org/wiki/Laser
1963,The first electronic cigarette is created by Herbert A. Gilbert. Hon Lik is often credited with its invention as he developed the modern electronic cigarette and was the first to commercialize it.,https://en.wikipedia.org/wiki/Electronic_cigarette
1964,"Shinkansen, the first high-speed rail commercial passenger service.",https://en.wikipedia.org/wiki/Shinkansen
1965,Kevlar is invented by Stephanie Kwolek at DuPont.,https://en.wikipedia.org/wiki/Kevlar
1969,"ARPANET and the NPL network implement packet switching,[448][449] drawing on the concepts and designs of Donald Davies,[450][451] and Paul Baran.[452]",https://en.wikipedia.org/wiki/ARPANET#ARPANET_deployed
1970s,"Public-key cryptography is invented and developed by James H. Ellis, Clifford Cocks, Malcolm J. Williamson, Whitfield Diffie, Martin Hellman, Ralph Merkle, Ron Rivest, Adi Shamir, Leonard Adleman, et al.",https://en.wikipedia.org/wiki/Public-key_cryptography
1970,The pocket calculator is invented.,https://en.wikipedia.org/wiki/Calculator#Pocket_calculators
1971,"The first single-chip microprocessor, the Intel 4004, is invented. Its development was led by Federico Faggin, using his silicon-gate MOS technology. This led to the personal computer (PC) revolution.[453]",https://en.wikipedia.org/wiki/Microprocessor
1971,"The first space station, Salyut 1 is launched.",https://en.wikipedia.org/wiki/Space_station
1972,"The first video game console, used primarily for playing video games on a TV, is the Magnavox Odyssey.[454]",https://en.wikipedia.org/wiki/Video_game_console
1973,The first fiber optic communication systems were developed by Optelecom.[455],https://en.wikipedia.org/wiki/Optelecom
1973,The first commercial graphical user interface is introduced in 1973 on the Xerox Alto. The modern GUI is later popularized by the Xerox Star and Apple Lisa.,https://en.wikipedia.org/wiki/Graphical_user_interface
1973,The first capacitive touchscreen is developed at CERN.,https://en.wikipedia.org/wiki/Touchscreen#Capacitive
1974,"The Transmission Control Program is proposed by Vinton Cerf and Robert E. Kahn, building on the work of Louis Pouzin, creating the basis for the modern Internet.[456][457]",https://en.wikipedia.org/wiki/Transmission_Control_Program
1974,"The lithium-ion battery is invented by M. Stanley Whittingham, and further developed in the 1980s and 1990s by John B. Goodenough, Rachid Yazami and Akira Yoshino. It has impacted modern consumer electronics and electric vehicles.[458]",https://en.wikipedia.org/wiki/Lithium-ion_battery
1977,Dr Walter Gilbert and Frederick Sanger invented a new DNA sequencing method for which they won the Nobel Prize.[459],https://en.wikipedia.org/wiki/Nobel_Prize
1977,The first self-driving car that did not rely upon rails or wires under the road is designed by the Tsukuba Mechanical Engineering Laboratory.[460],https://en.wikipedia.org/wiki/Self-driving_car
1978,"The Global Positioning System (GPS) enters service. While not the first Satellite navigation system, it is the first to enter widespread civilian use.",https://en.wikipedia.org/wiki/Global_Positioning_System
1979,"The first handheld game console with interchangeable game cartridges, the Microvision is released.",https://en.wikipedia.org/wiki/Microvision
1979,"Public dialup information, messaging and e-commerce services, were pioneered through CompuServe and RadioShack's MicroNET, and the UK's Post Office Telecommunications Prestel services.[461][462]",https://en.wikipedia.org/wiki/CompuServe
1980,Flash memory (both NOR and NAND types) is invented by Fujio Masuoka while working for Toshiba. It is formally introduced to the public in 1984.,https://en.wikipedia.org/wiki/Flash_memory
1981,"The first reusable spacecraft, the Space Shuttle undergoes test flights ahead of full operation in 1982.",https://en.wikipedia.org/wiki/Space_Shuttle
1981,"Kane Kramer develops the credit card sized, IXI digital media player.[463]",https://en.wikipedia.org/wiki/Kane_Kramer
1982,"A CD-ROM contains data accessible to, but not writable by, a computer for data storage and music playback. The 1985 Yellow Book standard developed by Sony and Philips adapted the format to hold any form of binary data.[464]",https://en.wikipedia.org/wiki/CD-ROM
1982,"Direct to home satellite television transmission, with the launch of Sky One service.[465]",https://en.wikipedia.org/wiki/Satellite_television
1982,"The first laptop computer is launched, the 8/16-bit Epson HX-20.[466]",https://en.wikipedia.org/wiki/Laptop
1983,Stereolithography is invented by Chuck Hull.[467],https://en.wikipedia.org/wiki/Stereolithography
1984,"The first commercially available cell phone, the DynaTAC 8000X, is created by Motorola.",https://en.wikipedia.org/wiki/Cell_phone
1984,DNA profiling is pioneered by Alec Jeffreys.[468][469],https://en.wikipedia.org/wiki/DNA_profiling
1989,"Karlheinz Brandenburg would publish the audio compression algorithms that would be standardised as the: MPEG-1, layer 3 (mp3), and later the MPEG-2, layer 7 Advanced Audio Compression (AAC).[470]",https://en.wikipedia.org/wiki/Karlheinz_Brandenburg
1989,The World Wide Web is invented by computer scientist Tim Berners-Lee.[471][472],https://en.wikipedia.org/wiki/World_Wide_Web
1990,The Neo Geo AES becomes the first video game system to launch that used Memory Cards,https://en.wikipedia.org/wiki/Neo_Geo_AES
1990,"The first search engine invented was “Archie”, created by Alan Emtage a student at McGill University in Montreal",https://en.wikipedia.org/wiki/Archie_(search_engine)
1991,The first commercial flash-based solid-state drive is launched by SunDisk.[473],https://en.wikipedia.org/wiki/Solid-state_drive
1991,"The first sim card is developed by Munich smart-card maker Giesecke & Devrient,",https://en.wikipedia.org/wiki/Sim_card
1993,"IBM created the first mobile app with SIMON, it had 10 bulit-in apps from Email to Calendar",
1994,"IBM Simon, World's first smartphone is developed by IBM.",https://en.wikipedia.org/wiki/IBM_Simon
1994,First generation of Bluetooth is developed by Ericsson Mobile. A form of data communication on short distances between electronic devices.,https://en.wikipedia.org/wiki/Bluetooth
1994,A Tetris variant on the Hagenuk MT-2000 device becomes the first mobile game,https://en.wikipedia.org/wiki/Tetris
1995,"DVD is an optical disc storage format, invented and developed by Philips, Sony, Toshiba, and Panasonic in 1995. DVDs offer higher storage capacity than compact discs while having the same dimensions.",https://en.wikipedia.org/wiki/DVD
1995,Match.com launches as the first dating site ever and is the number 1 most visited dating site in the US,https://en.wikipedia.org/wiki/Match.com
1995,Waiter.com launches as the first online food ordering service,https://en.wikipedia.org/wiki/Waiter.com
1996,Ciena deploys the first commercial wave division multiplexing system in partnership with Sprint. This created the massive capacity of the internet.[474],https://en.wikipedia.org/wiki/Ciena
1996,Mobile web was first commercially offered in Finland on the Nokia 9000 Communicator phone and it was also the first phone with texting,https://en.wikipedia.org/wiki/Nokia_9000_Communicator
1996,Bolt and Six Degrees (1997) both become the first social media sites,https://en.wikipedia.org/wiki/Bolt_(website)
1997,"The first weblog, a discussion or informational website, is created by Jorn Barger, later shortened to ""blog"" in 1999 by Peter Merholz.",https://en.wikipedia.org/wiki/Jorn_Barger
1998,The first portable MP3 player is released by SaeHan Information Systems.,https://en.wikipedia.org/wiki/MP3_player
1999,"The first digital video recorder (DVR), the TiVo, is launched by Xperi.",https://en.wikipedia.org/wiki/Digital_video_recorder
1999,"NTT DoCoMo launches i-mode, the first integrated Online App store for mobile phones",https://en.wikipedia.org/wiki/NTT_DoCoMo
2000,Sony develops the first prototypes for the Blu-ray optical disc format. The first prototype player was released in 2004.,https://en.wikipedia.org/wiki/Sony
2000,"First documented placement of Geocaching, an outdoor recreational activity, in which participants use a Global Positioning System (GPS) receiver or mobile device and other navigational techniques to hide and seek containers, took place on May 3, 2000, by Dave Ulmer of Beavercreek, Oregon.",https://en.wikipedia.org/wiki/Geocaching
2001,The Xbox Launches and is the first game console with internal storage,https://en.wikipedia.org/wiki/Xbox
2004,"First podcast, invented by Adam Curry and Dave Winer, is a program made available in digital format for download over the Internet and it usually features one or more recurring hosts engaged in a discussion about a particular topic or current event.[475][476][477]",https://en.wikipedia.org/wiki/Podcast
2005,"YouTube, the first popular video-streaming site, was founded",https://en.wikipedia.org/wiki/YouTube
2007,Netflix debuted the first popular video-on-demand service,https://en.wikipedia.org/wiki/Netflix
2007,The Bank of Scotland develops the worlds first banking app,https://en.wikipedia.org/wiki/Bank_of_Scotland
2007,"SoundCloud, the first on-demand service to focus on music is debuted",https://en.wikipedia.org/wiki/SoundCloud
2007,"First Kindle introduced by Amazon (company) founder and CEO Jeff Bezos, who instructed the company's employees to build the world's best e-reader before Amazon's competitors could. Amazon originally used the codename Fiona for the device. This hardware evolved from the original Kindle introduced in 2007 and the Kindle DX (with its larger 9.7"" screen) introduced in 2009.[478]",https://en.wikipedia.org/wiki/Amazon_Kindle
2008,Satoshi Nakamoto develops the first blockchain.[479],https://en.wikipedia.org/wiki/Satoshi_Nakamoto
2009,The Zeebo is released becoming the first digital-only video game console,https://en.wikipedia.org/wiki/Zeebo
2010,"The first solar sail based spacecraft, IKAROS.[480]",https://en.wikipedia.org/wiki/Solar_sail
2010,The first quantum machine[481],https://en.wikipedia.org/wiki/Quantum_machine
2010,"The first synthetic organism, Mycoplasma laboratorium is created by the J. Craig Venter Institute.",https://en.wikipedia.org/wiki/Synthetic_biology
2011,"Twitch, launches as the first live-streaming service.",https://en.wikipedia.org/wiki/Twitch_(service)
2011,HIV treatment as prevention (HPTN 052)[482],https://en.wikipedia.org/wiki/HPTN_052
2012,Discovery of the Higgs boson[483],https://en.wikipedia.org/wiki/Higgs_boson
2013,Cancer immunotherapy[484],https://en.wikipedia.org/wiki/Cancer_immunotherapy
2014,"The first known ""NFT"", Quantum,[485] was created by Kevin McCoy and Anil Dash in May 2014, that explicitly linked a non-fungible, tradable blockchain marker to a work of art, via on-chain metadata (enabled by Namecoin).[486]",https://en.wikipedia.org/wiki/NFT
2015,CRISPR genome-editing method[487],https://en.wikipedia.org/wiki/CRISPR
2016,"The Laser Interferometer Gravitational-Wave Observatory makes the first observation of gravitational waves, fulfilling Einstein's prediction[488]",https://en.wikipedia.org/wiki/Laser_Interferometer_Gravitational-Wave_Observatory
2018,Single cell sequencing[489],https://en.wikipedia.org/wiki/Single_cell_sequencing
2019,"IBM launches IBM Q System One, its first integrated quantum computing system for commercial use.",https://en.wikipedia.org/wiki/IBM
2020,The first RNA vaccine to be approved by public health medicines regulators is co-developed by Pfizer and BioNTech for COVID-19.,https://en.wikipedia.org/wiki/RNA_vaccine
2022,Pfizer develops the world's first pill for COVID,https://en.wikipedia.org/wiki/Pfizer
