Date,Description,URL
5th century BC,"Cast iron in Ancient China: Confirmed by archaeological evidence, the earliest cast iron is developed in China by the early 5th century BC during the Zhou Dynasty (1122-256 BC), the oldest specimens found in a tomb of Luhe County in Jiangsu province.[208][209][210]",https://en.wikipedia.org/wiki/Cast_iron
480 BC,"Spiral stairs (Temple A) in Selinunte, Sicily (see also List of ancient spiral stairs)[211][212]",https://en.wikipedia.org/wiki/Spiral_stairs
By 407 BC,Early descriptions of what may be a Wheelbarrow in Greece.[213] First actual depiction of one (tomb mural) shows up in China in 118 AD.[214],https://en.wikipedia.org/wiki/Wheelbarrow
By 400 BC,Camera obscura described by Mo-tzu (or Mozi) in China.[215],https://en.wikipedia.org/wiki/Camera_obscura
4th century BC,Traction trebuchet in Ancient China.[217],https://en.wikipedia.org/wiki/Trebuchet
4th century BC,Gears in Ancient China,https://en.wikipedia.org/wiki/Gear
4th century BC,"Reed pens, utilising a split nib, were used to write with ink on Papyrus in Egypt.[217]",https://en.wikipedia.org/wiki/Reed_pen
4th century BC,"Nailed Horseshoe, with 4 bronze shoes found in an Etruscan tomb.[218]",https://en.wikipedia.org/wiki/Horseshoe
375 BC - 350 BC,Animal-driven rotary mill in Carthage.[219][220],https://en.wikipedia.org/wiki/Horse_mill
By the late 4th century BC,Corporations in either the Maurya Empire of India[221] or in Ancient Rome (Collegium).,https://en.wikipedia.org/wiki/Corporation
Late 4th century BC,Cheque in the Maurya Empire of India.[222],https://en.wikipedia.org/wiki/Cheque
Late 4th century BC,Potassium nitrate manufacturing and military use in the Seleucid Empire.[223],https://en.wikipedia.org/wiki/Potassium_nitrate
Late 4th century BC,"Formal systems by Pāṇini in India, possibly during the reign of Chandragupta Maurya.[224]",https://en.wikipedia.org/wiki/Formal_system
4th to 3rd century BC,"Zinc production in North-Western India during the Maurya Empire.[225] The earliest known zinc mines and smelting sites are from Zawar, near Udaipur, in Rajasthan.[226][227]",https://en.wikipedia.org/wiki/Zinc_mining#History
3rd century BC,"Analog computers in the Hellenistic world (see e.g. the Antikythera mechanism), possibly in Rhodes.[228]",https://en.wikipedia.org/wiki/Analog_computers
By at least the 3rd century BC,Archimedes' screw was first used in the Nile river for irrigation purposes in Ancient Egypt[229],https://en.wikipedia.org/wiki/Archimedes%27_screw
Early 3rd century BC,Canal lock in Canal of the Pharaohs under Ptolemy II (283-246 BC) in Hellenistic Egypt[230][231][232],https://en.wikipedia.org/wiki/Lock_(water_transport)
3rd century BC,"Cam during the Hellenistic period, used in water-driven automata.[233]",https://en.wikipedia.org/wiki/Cam_(mechanism)
By the 3rd century BC,"Water wheel. The origin is unclear: Indian Pali texts dating to the 4th century BCE refer to the cakkavattaka, which later commentaries describe as arahatta-ghati-yanta (machine with wheel-pots attached). Helaine Selin suggests that the device existed in Persia before 350 BC.[234] The clearest description of the water wheel and Liquid-driven escapement is provided by Philo of Byzantium (c. 280 - 220 BC) in the Hellenistic kingdoms.[235]",https://en.wikipedia.org/wiki/Water_wheel
3rd century BC,Gimbal described by Philo of Byzantium[236],https://en.wikipedia.org/wiki/Gimbal
Late 3rd century BC,Dry dock under Ptolemy IV (221-205 BC) in Hellenistic Egypt[237],https://en.wikipedia.org/wiki/Dry_dock
3rd century BC - 2nd century BC,"Blast furnace in Ancient China: The earliest discovered blast furnaces in China date to the 3rd and 2nd centuries BC, although most sites are from the later Han dynasty.[208][238]",https://en.wikipedia.org/wiki/Blast_furnace
2nd century BC,Paper in Han dynasty China[nb 7],https://en.wikipedia.org/wiki/Paper
206 BC,Compass in Han dynasty China[241],https://en.wikipedia.org/wiki/Compass
Early 2nd century BC,Astrolabe invented by Apollonius of Perga.,https://en.wikipedia.org/wiki/Astrolabe
1st century BC,"Segmental arch bridge (e.g. Pont-Saint-Martin or Ponte San Lorenzo) in Italy, Roman Republic[242][243]",https://en.wikipedia.org/wiki/Arch_bridge
1st century BC,"News bulletin during the reign of Julius Caesar.[244] A paper form, i.e. the earliest newspaper, later appeared during the late Han dynasty in the form of the Dibao.[245][246][247]","https://en.wikipedia.org#cite_note-Chisholm_1911,_p._159-251"
1st century BC,"Arch dam (Glanum Dam) in Gallia Narbonensis, Roman Republic (see also List of Roman dams)[248][249][250][251][252]",https://en.wikipedia.org/wiki/Arch_dam
Before 40 BC,Trip hammer in China[253],https://en.wikipedia.org/wiki/Trip_hammer
38 BC,"An empty shell Glyph for zero, is found on a Maya numerals Stela, from Chiapa de Corzo, Chiapas. Independently invented by Claudius Ptolemy, in the second century CE Egypt, and appearing in the calculations of the Almagest.",https://en.wikipedia.org/wiki/0#Pre-Columbian_Americas
37 BC - 14 BC,Glass blowing developed in Jerusalem.[254][255][256],https://en.wikipedia.org/wiki/Glass_blowing
Before 25 BC,"Reverse overshot water wheel by Roman engineers in Rio Tinto, Spain[257]",https://en.wikipedia.org/wiki/Reverse_overshot_water_wheel
25 BC,Noodle in Lajia in China[258],https://en.wikipedia.org/wiki/Noodle
1st century AD,"The aeolipile, a simple steam turbine is recorded by Hero of Alexandria.[259]",https://en.wikipedia.org/wiki/Aeolipile
1st century AD,Vending machines invented by Hero of Alexandria.,https://en.wikipedia.org/wiki/Vending_machine
By the 1st century AD,The double-entry bookkeeping system in the Roman Empire.[260],https://en.wikipedia.org/wiki/Double-entry_bookkeeping
132,"Seismometer and pendulum in Han dynasty China, built by Zhang Heng. It is a large metal urn-shaped instrument which employed either a suspended pendulum or inverted pendulum acting on inertia, like the ground tremors from earthquakes, to dislodge a metal ball by a lever trip device.[261][262]",https://en.wikipedia.org/wiki/Seismometer
2nd century,Carding in India.[263],https://en.wikipedia.org/wiki/Carding
By at least the 3rd century,Crystallized sugar in India.[267],https://en.wikipedia.org#cite_note-274
Early 3rd century,Woodblock printing is invented in Han dynasty China at sometime before 220 AD. This made China become the world's first print culture.[268],https://en.wikipedia.org/wiki/Woodblock_printing
Late 3rd century - Early 4th century,Water turbine in the Roman Empire in modern-day Tunisia.[269][270][271],https://en.wikipedia.org/wiki/Water_turbine
280 - 550,"Chaturanga, a precursor of Chess was invented in India during the Gupta Empire.[272][273][274]",https://en.wikipedia.org/wiki/Chaturanga
4th century,"Roman Dichroic glass, which displays one of two different colors depending on lighting conditions.",https://en.wikipedia.org/wiki/Dichroic_glass
4th century,"Mariner's compass in Tamil Southern India: the first mention of the use of a compass for navigational purposes is found in Tamil nautical texts as the macchayantra.[275][276] However, the theoretical notion of magnets pointing North predates the device by several centuries.",https://en.wikipedia.org/wiki/Compass
4th century,"Simple suspension bridge, independently invented in Pre-Columbian South America,  and the Hindu Kush range, of present-day Afghanistan and Pakistan. With Han dynasty travelers noting bridges being constructed from 3 or more vines or 3 ropes.[277] Later bridges constructed utilizing cables of iron chains appeared in Tibet.[278][279]",https://en.wikipedia.org/wiki/Simple_suspension_bridge#History
4th century,"Fishing reel in Ancient China: In literary records, the earliest evidence of the fishing reel comes from a 4th-century AD[280] work entitled Lives of Famous Immortals.[281]",https://en.wikipedia.org/wiki/Fishing_reel
347,Oil Wells and Borehole drilling in China. Such wells could reach depths of up to 240 m (790 ft).[282],https://en.wikipedia.org/wiki/Oil_Well
400,"The construction of the Iron pillar of Delhi in Mathura by the Gupta Empire shows the development of rust-resistant ferrous metallurgy in Ancient India,[284][285] although original texts do not survive to detail the specific processes invented in this period.",https://en.wikipedia.org/wiki/Iron_pillar_of_Delhi
5th century,"The horse collar as a fully developed collar harness is developed in Southern and Northern Dynasties China during the 5th century AD.[286] The earliest depiction of it is a Dunhuang cave mural from the Chinese Northern Wei Dynasty, the painting dated to 477-499.[287]",https://en.wikipedia.org/wiki/Horse_collar
5th century - 6th century,"Pointed arch bridge (Karamagara Bridge) in Cappadocia, Eastern Roman Empire[288][289]",https://en.wikipedia.org/wiki/Pointed_arch_bridge
By the 6th century,Incense clock in China.[290][291],https://en.wikipedia.org/wiki/Incense_clock
After 500,"Charkha (spinning wheel/cotton gin) invented in India (probably during the Vakataka dynasty of Maharashtra, India), between 500 and 1000 A.D.[292]",https://en.wikipedia.org/wiki/Charkha_(spinning_wheel)
563,"Pendentive dome (Hagia Sophia) in Constantinople, Eastern Roman Empire[293]",https://en.wikipedia.org/wiki/Pendentive
577,Sulfur matches exist in China.,https://en.wikipedia.org/wiki/Match#Early_matches
589,"Toilet paper in Sui dynasty China, first mentioned by the official Yan Zhitui (531-591), with full evidence of continual use in subsequent dynasties.[294][295]",https://en.wikipedia.org/wiki/Toilet_paper
619,Toothbrush in China during the Tang Dynasty[296],https://en.wikipedia.org/wiki/Toothbrush
